1;0;1;0;{0: 1};0.0;8.392333984375e-05
3;0;3;0;{0: 1};0.0;5.698204040527344e-05
3;0;3;1;{100.0: 1, 50.0: 2};66.66666666666667;9.417533874511719e-05
3;0;3;2;{100.0: 3};100.0;0.00011897087097167969
3;1;5;0;{0: 3};0.0;0.000102996826171875
3;1;5;1;{0: 9, 50.0: 4, 100.0: 2};26.666666666666668;0.00025391578674316406
3;1;5;2;{100.0: 12, 50.0: 18};70.0;0.00043892860412597656
3;1;5;3;{100.0: 28, 50.0: 2};96.66666666666667;0.0004239082336425781
3;1;5;4;{100.0: 15};100.0;0.0002262592315673828
3;2;7;0;{0: 3};0.0;7.867813110351562e-05
3;2;7;1;{0: 18, 50.0: 2, 100.0: 1};9.523809523809524;0.00030422210693359375
3;2;7;2;{100.0: 12, 0: 27, 50.0: 24};38.095238095238095;0.0008990764617919922
3;2;7;3;{100.0: 47, 50.0: 58};72.38095238095238;0.0014736652374267578
3;2;7;4;{100.0: 93, 50.0: 12};94.28571428571429;0.0014209747314453125
3;2;7;5;{100.0: 63};100.0;0.0008161067962646484
3;2;7;6;{100.0: 21};100.0;0.0003159046173095703
7;0;7;0;{0: 1};0.0;5.078315734863281e-05
7;0;7;1;{100.0: 1, 50.0: 2, 25.0: 4};42.857142857142854;0.0001590251922607422
7;0;7;2;{100.0: 7, 50.0: 10, 75.0: 4};71.42857142857143;0.0003960132598876953
7;0;7;3;{100.0: 21, 50.0: 2, 75.0: 12};88.57142857142857;0.0006158351898193359
7;0;7;4;{100.0: 31, 75.0: 4};97.14285714285714;0.0006051063537597656
7;0;7;5;{100.0: 21};100.0;0.0003650188446044922
7;0;7;6;{100.0: 7};100.0;0.0001418590545654297
7;1;9;0;{0: 7};0.0;0.00016999244689941406
7;1;9;1;{0: 21, 50.0: 12, 25.0: 24, 100.0: 6};28.571428571428573;0.0011801719665527344
7;1;9;2;{100.0: 56, 50.0: 92, 25.0: 84, 75.0: 20};54.76190476190476;0.004674196243286133
7;1;9;3;{100.0: 232, 50.0: 220, 75.0: 132, 25.0: 4};75.17006802721089;0.010819196701049805
7;1;9;4;{100.0: 548, 50.0: 62, 75.0: 272};88.77551020408163;0.015779972076416016
7;1;9;5;{100.0: 756, 75.0: 120, 50.0: 6};96.25850340136054;0.015319108963012695
7;1;9;6;{100.0: 572, 75.0: 16};99.31972789115646;0.009546995162963867
7;1;9;7;{100.0: 252};100.0;0.003865957260131836
7;1;9;8;{100.0: 63};100.0;0.001004934310913086
7;2;11;0;{0: 21};0.0;0.0004470348358154297
7;2;11;1;{0: 126, 50.0: 30, 25.0: 60, 100.0: 15};19.48051948051948;0.004061222076416016
7;2;11;2;{100.0: 178, 0: 189, 50.0: 316, 25.0: 432, 75.0: 40};41.03896103896104;0.021327972412109375
7;2;11;3;{100.0: 951, 50.0: 1302, 25.0: 780, 75.0: 432};61.21212121212121;0.0652010440826416
7;2;11;4;{100.0: 3016, 50.0: 2170, 75.0: 1672, 25.0: 72};77.53246753246754;0.13022494316101074
7;2;11;5;{100.0: 6168, 50.0: 762, 75.0: 2772};88.93011750154608;0.17716407775878906
7;2;11;6;{100.0: 8128, 50.0: 118, 75.0: 1456};95.64007421150278;0.1759192943572998
7;2;11;7;{100.0: 6600, 75.0: 324, 50.0: 6};98.78787878787878;0.12287020683288574
7;2;11;8;{100.0: 3441, 75.0: 24};99.82683982683983;0.061814069747924805
7;2;11;9;{100.0: 1155};100.0;0.020305156707763672
7;2;11;10;{100.0: 231};100.0;0.003798961639404297
7;3;13;0;{0: 35};0.0;0.0007479190826416016
7;3;13;1;{0: 315, 25.0: 80, 50.0: 40, 100.0: 20};13.186813186813186;0.009056806564331055
7;3;13;2;{100.0: 295, 0: 945, 25.0: 900, 50.0: 550, 75.0: 40};30.21978021978022;0.0534968376159668
7;3;13;3;{100.0: 1959, 50.0: 3158, 0: 945, 25.0: 3300, 75.0: 648};48.44155844155844;0.2029719352722168
7;3;13;4;{100.0: 7821, 50.0: 9200, 75.0: 3864, 25.0: 4140};65.35064935064935;0.5506148338317871
7;3;13;5;{100.0: 20913, 50.0: 12336, 75.0: 11256, 25.0: 540};79.16083916083916;1.25777006149292
7;3;13;6;{100.0: 38792, 50.0: 5000, 75.0: 16268};89.06593406593407;1.6414258480072021
7;3;13;7;{100.0: 49512, 50.0: 984, 75.0: 9564};95.1998001998002;1.3930869102478027
7;3;13;8;{100.0: 42183, 75.0: 2772, 50.0: 90};98.36163836163836;1.0433859825134277
7;3;13;9;{100.0: 24651, 75.0: 372, 50.0: 2};99.62437562437563;0.5833437442779541
7;3;13;10;{100.0: 9994, 75.0: 16};99.96003996003996;0.23819684982299805
7;3;13;11;{100.0: 2730};100.0;0.0670771598815918
7;3;13;12;{100.0: 455};100.0;0.01221776008605957
7;4;15;0;{0: 35};0.0;0.0010929107666015625
7;4;15;1;{0: 420, 25.0: 60, 50.0: 30, 100.0: 15};8.571428571428571;0.013831853866577148
7;4;15;2;{100.0: 275, 0: 1890, 25.0: 960, 50.0: 530, 75.0: 20};21.632653061224488;0.09951305389404297
7;4;15;3;{100.0: 2231, 50.0: 3942, 0: 3780, 25.0: 5480, 75.0: 492};37.30612244897959;0.44237804412841797
7;4;15;4;{100.0: 10868, 50.0: 16136, 75.0: 4256, 0: 2835, 25.0: 13680};53.4756671899529;1.384700059890747
7;4;15;5;{100.0: 35919, 50.0: 37254, 75.0: 18432, 25.0: 13500};68.26031111745398;2.563288927078247
